scenario,T,TECH,TYPE,F,value
S0,T0841,AMV1,BP,wood pellets,72.44532081377153
S0,T0841,AMV4,BP,wood chips,149.86407053637032
S0,T0841,ARC,BP,municipal waste,47.008226950354604
S0,T0841,ARGO5,BP,municipal waste,11.05511811023622
S0,T0841,ARGO6,BP,municipal waste,16.072488335925346
S0,T0841,KKV7,BP,wood chips,8.46
S0,T0841,KKV8,BP,wood chips,14.010108303249098
S0,T0841,VF5,BP,municipal waste,10.204481546572937
S0,T0841,VF6,BP,municipal waste,20.143502454991815
S0,T0842,AMV1,BP,wood pellets,72.44532081377153
S0,T0842,AMV4,BP,wood chips,149.86407053637032
S0,T0842,ARC,BP,municipal waste,47.008226950354604
S0,T0842,ARGO5,BP,municipal waste,11.05511811023622
S0,T0842,ARGO6,BP,municipal waste,16.072488335925346
S0,T0842,KKV7,BP,wood chips,8.46
S0,T0842,KKV8,BP,wood chips,14.010108303249098
S0,T0842,VF5,BP,municipal waste,10.204481546572937
S0,T0842,VF6,BP,municipal waste,20.143502454991815
S0,T0843,AMV1,BP,wood pellets,72.44532081377153
S0,T0843,AMV4,BP,wood chips,149.86407053637032
S0,T0843,ARC,BP,municipal waste,47.008226950354604
S0,T0843,ARGO5,BP,municipal waste,11.05511811023622
S0,T0843,ARGO6,BP,municipal waste,16.072488335925346
S0,T0843,KKV7,BP,wood chips,8.46
S0,T0843,KKV8,BP,wood chips,14.010108303249098
S0,T0843,VF5,BP,municipal waste,10.204481546572937
S0,T0843,VF6,BP,municipal waste,20.143502454991815
S0,T0844,AMV1,BP,wood pellets,72.44532081377153
S0,T0844,AMV4,BP,wood chips,149.86407053637032
S0,T0844,ARC,BP,municipal waste,47.008226950354604
S0,T0844,ARGO5,BP,municipal waste,11.05511811023622
S0,T0844,ARGO6,BP,municipal waste,16.072488335925346
S0,T0844,KKV7,BP,wood chips,8.46
S0,T0844,KKV8,BP,wood chips,14.010108303249098
S0,T0844,VF5,BP,municipal waste,10.204481546572937
S0,T0844,VF6,BP,municipal waste,20.143502454991815
S0,T0845,AMV1,BP,wood pellets,72.44532081377153
S0,T0845,AMV4,BP,wood chips,149.86407053637032
S0,T0845,ARC,BP,municipal waste,47.008226950354604
S0,T0845,ARGO5,BP,municipal waste,11.05511811023622
S0,T0845,ARGO6,BP,municipal waste,16.072488335925346
S0,T0845,KKV7,BP,wood chips,8.46
S0,T0845,KKV8,BP,wood chips,14.010108303249098
S0,T0845,VF5,BP,municipal waste,10.204481546572937
S0,T0845,VF6,BP,municipal waste,20.143502454991815
S0,T0846,AMV1,BP,wood pellets,72.44532081377153
S0,T0846,AMV4,BP,wood chips,149.86407053637032
S0,T0846,ARC,BP,municipal waste,47.008226950354604
S0,T0846,ARGO5,BP,municipal waste,11.05511811023622
S0,T0846,ARGO6,BP,municipal waste,16.072488335925346
S0,T0846,KKV7,BP,wood chips,8.46
S0,T0846,KKV8,BP,wood chips,14.010108303249098
